fid,GID_0,COUNTRY,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,SIS_RegionName,ToSplit
35,AGO,Angola,AGO.1_1,Bengo,NA,NA,Província,Province,1,AO.BO,AO-BGO,Angola,NA
36,AGO,Angola,AGO.2_1,Benguela,Benguella,NA,Província,Province,2,AO.BG,AO-BGU,Angola,NA
37,AGO,Angola,AGO.3_1,Bié,NA,NA,Província,Province,3,AO.BI,NA,Angola,NA
38,AGO,Angola,AGO.4_1,Cabinda,NA,NA,Província,Province,4,AO.CB,AO-CAB,Cabinda,NA
39,AGO,Angola,AGO.5_1,Cuando Cubango,NA,NA,Província,Province,5,AO.CC,AO-CCU,Angola,NA
40,AGO,Angola,AGO.6_1,Cuanza Norte,Cuanza-Nord|Kwanza Norte,NA,Província,Province,6,AO.CN,NA,Angola,NA
41,AGO,Angola,AGO.7_1,Cuanza Sul,Cuanza-Sud|Kwanza Sul,NA,Província,Province,7,AO.CS,NA,Angola,NA
42,AGO,Angola,AGO.8_1,Cunene,NA,NA,Província,Province,8,AO.CU,AO-CNN,Angola,NA
43,AGO,Angola,AGO.9_1,Huambo,NA,NA,Província,Province,9,AO.HM,AO-HUA,Angola,NA
44,AGO,Angola,AGO.10_1,Huíla,NA,NA,Província,Province,10,AO.HL,NA,Angola,NA
45,AGO,Angola,AGO.11_1,Luanda,Loanda,NA,Província,Province,11,AO.LU,AO-LUA,Angola,NA
46,AGO,Angola,AGO.12_1,Lunda Norte,NA,NA,Província,Province,12,AO.LN,NA,Angola,NA
47,AGO,Angola,AGO.13_1,Lunda Sul,NA,NA,Província,Province,13,AO.LS,NA,Angola,NA
48,AGO,Angola,AGO.14_1,Malanje,Malange,NA,Província,Province,14,AO.ML,NA,Angola,NA
49,AGO,Angola,AGO.15_1,Moxico,NA,NA,Província,Province,15,AO.MX,AO-MOX,Angola,NA
50,AGO,Angola,AGO.16_1,Namibe,Moçâmedes|Mossamedes,NA,Província,Province,16,AO.NA,AO-NAM,Angola,NA
51,AGO,Angola,AGO.17_1,Uíge,NA,NA,Província,Province,17,AO.UI,NA,Angola,NA
52,AGO,Angola,AGO.18_1,Zaire,NA,NA,Província,Province,18,AO.ZA,AO-ZAI,Angola,NA
100,ARG,Argentina,ARG.1_1,Buenos Aires,Baires|Buenos Ayres,NA,Provincia,Province,NA,AR.BA,AR-B,Buenos Aires,NA
101,ARG,Argentina,ARG.2_1,Catamarca,NA,NA,Provincia,Province,NA,AR.CT,AR-K,Catamarca,NA
102,ARG,Argentina,ARG.3_1,Chaco,El Chaco|Presidente Juan Peron,NA,Provincia,Province,NA,AR.CC,AR-H,Chaco,NA
103,ARG,Argentina,ARG.4_1,Chubut,NA,NA,Provincia,Province,NA,AR.CH,AR-U,Chubut,NA
104,ARG,Argentina,ARG.5_1,Ciudad de Buenos Aires,BUENOS AIRES D.F.|Capital Federa,NA,Distrito Federal,Federal District,NA,AR.DF,NA,Argentina Distrito Federal,NA
105,ARG,Argentina,ARG.6_1,Córdoba,Cordova,NA,Provincia,Province,NA,AR.CB,NA,C�rdoba,NA
106,ARG,Argentina,ARG.7_1,Corrientes,NA,NA,Provincia,Province,NA,AR.CN,AR-W,Corrientes,NA
107,ARG,Argentina,ARG.8_1,Entre Ríos,Entre-Rios,NA,Provincia,Province,NA,AR.ER,NA,Entre R�os,NA
108,ARG,Argentina,ARG.9_1,Formosa,NA,NA,Provincia,Province,NA,AR.FM,AR-P,Formosa,NA
109,ARG,Argentina,ARG.10_1,Jujuy,NA,NA,Provincia,Province,NA,AR.JY,AR-Y,Jujuy,NA
110,ARG,Argentina,ARG.11_1,La Pampa,El Pampa|Eva Perón,NA,Provincia,Province,NA,AR.LP,AR-L,La Pampa,NA
111,ARG,Argentina,ARG.12_1,La Rioja,NA,NA,Provincia,Province,NA,AR.LR,AR-F,La Rioja,NA
112,ARG,Argentina,ARG.13_1,Mendoza,NA,NA,Provincia,Province,NA,AR.MZ,AR-M,Mendoza,NA
113,ARG,Argentina,ARG.14_1,Misiones,Missões,NA,Provincia,Province,NA,AR.MN,AR-N,Misiones,NA
114,ARG,Argentina,ARG.15_1,Neuquén,Neuquén,NA,Provincia,Province,NA,AR.NQ,NA,Neuqu�n,NA
115,ARG,Argentina,ARG.16_1,Río Negro,NA,NA,Provincia,Province,NA,AR.RN,NA,Rio Negro,NA
116,ARG,Argentina,ARG.17_1,Salta,NA,NA,Provincia,Province,NA,AR.SA,AR-A,Salta,NA
117,ARG,Argentina,ARG.18_1,San Juan,NA,NA,Provincia,Province,NA,AR.SJ,AR-J,San Juan,NA
118,ARG,Argentina,ARG.19_1,San Luis,NA,NA,Provincia,Province,NA,AR.SL,AR-D,San Luis,NA
119,ARG,Argentina,ARG.20_1,Santa Cruz,NA,NA,Provincia,Province,NA,AR.SC,AR-Z,Santa Cruz,NA
120,ARG,Argentina,ARG.21_1,Santa Fe,Santa Fé,NA,Provincia,Province,NA,AR.SF,AR-S,Santa F�,NA
121,ARG,Argentina,ARG.22_1,Santiago del Estero,NA,NA,Provincia,Province,NA,AR.SE,AR-G,Santiago del Estero,NA
122,ARG,Argentina,ARG.23_1,Tierra del Fuego,Feuerland|Terra del Fuoco|Terre,NA,Provincia,Province,NA,AR.TF,AR-V,Tierra del Fuego,NA
123,ARG,Argentina,ARG.24_1,Tucumán,Tucumão,NA,Provincia,Province,NA,AR.TM,NA,Tucum�n,NA
124,ARM,Armenia,ARM.1_1,Aragatsotn,Aragacot'n,Արագածոտն|Арагацотн,Marz,Province,NA,AM.AG,NA,Armenia,NA
125,ARM,Armenia,ARM.2_1,Ararat,NA,Արարատ|Арарат,Marz,Province,NA,AM.AR,AM-AR,Armenia,NA
126,ARM,Armenia,ARM.3_1,Armavir,NA,Արմավիր|Армавир,Marz,Province,NA,AM.AV,AM-AV,Armenia,NA
127,ARM,Armenia,ARM.4_1,Erevan,Yerevan,Երևան|Ереван,Kaghak,City,NA,AM.ER,AM-ER,Armenia,NA
128,ARM,Armenia,ARM.5_1,Gegharkunik,Gelark'unik',Գեղարքունիք|Гегаркуник,Marz,Province,NA,AM.GR,NA,Armenia,NA
129,ARM,Armenia,ARM.6_1,Kotayk,Kotaik|Kotayk',Կոտայք|Котайк,Marz,Province,NA,AM.KT,NA,Armenia,NA
130,ARM,Armenia,ARM.7_1,Lori,Loṙi,Լոռի|Лори,Marz,Province,NA,AM.LO,AM-LO,Armenia,NA
131,ARM,Armenia,ARM.8_1,Shirak,Širak,Շիրակ|Ширак,Marz,Province,NA,AM.SH,NA,Armenia,NA
